year,feature,median,mean
2019,danceability,0.692,0.6775
2019,liveness,0.125,0.1851
2019,valence,0.479,0.4823
2019,energy,0.714,0.6967
2019,acousticness,0.0988,0.1898
2018,danceability,0.694,0.6789
2018,liveness,0.124,0.1794
2018,valence,0.453,0.4629
2018,energy,0.698,0.6748
2018,acousticness,0.114,0.2103
2017,danceability,0.679,0.6633
2017,liveness,0.121,0.1789
2017,valence,0.447,0.4619
2017,energy,0.709,0.6827
2017,acousticness,0.1035,0.1928
2016,danceability,0.662,0.6503
2016,liveness,0.127,0.1946
2016,valence,0.434,0.452
2016,energy,0.721,0.696
2016,acousticness,0.0759,0.1706
2014,danceability,0.637,0.629
2014,liveness,0.128,0.1972
2014,valence,0.42,0.445
2014,energy,0.7935,0.7599
2014,acousticness,0.0305,0.1154
2012,danceability,0.637,0.6339
2012,liveness,0.129,0.2024
2012,valence,0.524,0.524
2012,energy,0.7685,0.7324
2012,acousticness,0.0516,0.1447
2015,danceability,0.657,0.6513
2015,liveness,0.13,0.1913
2015,valence,0.44,0.4584
2015,energy,0.738,0.7139
2015,acousticness,0.0595,0.1582
2013,danceability,0.6405,0.6344
2013,liveness,0.132,0.1994
2013,valence,0.465,0.4712
2013,energy,0.783,0.7488
2013,acousticness,0.0271,0.1195
2011,danceability,0.645,0.6252
2011,liveness,0.1335,0.2052
2011,valence,0.5475,0.5409
2011,energy,0.756,0.7224
2011,acousticness,0.0577,0.1625
2010,danceability,0.658,0.6328
2010,liveness,0.126,0.1922
2010,valence,0.62,0.6045
2010,energy,0.783,0.7429
2010,acousticness,0.0601,0.1462
2008,danceability,0.662,0.6275
2008,liveness,0.143,0.1931
2008,valence,0.608,0.6103
2008,energy,0.7405,0.7195
2008,acousticness,0.0536,0.1521
2020,danceability,0.689,0.672
2020,liveness,0.128,0.1892
2020,valence,0.456,0.469
2020,energy,0.693,0.6703
2020,acousticness,0.115,0.2085
2007,danceability,0.661,0.6555
2007,liveness,0.139,0.1959
2007,valence,0.6305,0.6099
2007,energy,0.7535,0.724
2007,acousticness,0.0781,0.1737
1998,danceability,0.724,0.6929
1998,liveness,0.138,0.197
1998,valence,0.628,0.6153
1998,energy,0.697,0.6804
1998,acousticness,0.0614,0.1472
1996,danceability,0.744,0.7112
1996,liveness,0.131,0.1954
1996,valence,0.638,0.6264
1996,energy,0.639,0.6455
1996,acousticness,0.0623,0.1409
1999,danceability,0.706,0.6721
1999,liveness,0.1335,0.2063
1999,valence,0.644,0.616
1999,energy,0.7375,0.7065
1999,acousticness,0.082,0.1477
2009,danceability,0.657,0.6461
2009,liveness,0.142,0.2133
2009,valence,0.641,0.5942
2009,energy,0.776,0.751
2009,acousticness,0.062,0.1514
1993,danceability,0.692,0.669
1993,liveness,0.14,0.2254
1993,valence,0.601,0.5885
1993,energy,0.659,0.6512
1993,acousticness,0.0783,0.1462
1995,danceability,0.704,0.6684
1995,liveness,0.127,0.1942
1995,valence,0.618,0.589
1995,energy,0.642,0.6419
1995,acousticness,0.0856,0.1823
1991,danceability,0.666,0.6338
1991,liveness,0.129,0.1791
1991,valence,0.622,0.5921
1991,energy,0.721,0.6873
1991,acousticness,0.0411,0.1044
2000,danceability,0.7005,0.6729
2000,liveness,0.148,0.2183
2000,valence,0.6255,0.6223
2000,energy,0.7,0.6891
2000,acousticness,0.0604,0.1534
1994,danceability,0.706,0.668
1994,liveness,0.124,0.1916
1994,valence,0.594,0.5722
1994,energy,0.649,0.65
1994,acousticness,0.0551,0.1334
1992,danceability,0.708,0.6836
1992,liveness,0.131,0.1812
1992,valence,0.655,0.6386
1992,energy,0.7095,0.6707
1992,acousticness,0.0601,0.1334
1997,danceability,0.673,0.6403
1997,liveness,0.172,0.2608
1997,valence,0.557,0.545
1997,energy,0.661,0.6383
1997,acousticness,0.0604,0.1552
2001,danceability,0.657,0.6477
2001,liveness,0.135,0.193
2001,valence,0.6225,0.5985
2001,energy,0.7305,0.7161
2001,acousticness,0.0427,0.1331
2006,danceability,0.666,0.6428
2006,liveness,0.127,0.197
2006,valence,0.609,0.5879
2006,energy,0.74,0.7101
2006,acousticness,0.0952,0.1829
2002,danceability,0.675,0.6557
2002,liveness,0.134,0.1955
2002,valence,0.59,0.5728
2002,energy,0.68,0.682
2002,acousticness,0.0786,0.1782
2003,danceability,0.7,0.67
2003,liveness,0.123,0.1802
2003,valence,0.662,0.6248
2003,energy,0.732,0.7026
2003,acousticness,0.103,0.1822
2005,danceability,0.6495,0.6328
2005,liveness,0.151,0.2308
2005,valence,0.6095,0.5865
2005,energy,0.7335,0.7144
2005,acousticness,0.0648,0.1546
1990,danceability,0.667,0.6523
1990,liveness,0.121,0.1673
1990,valence,0.647,0.6111
1990,energy,0.698,0.6775
1990,acousticness,0.0455,0.1296
2004,danceability,0.677,0.6612
2004,liveness,0.123,0.1822
2004,valence,0.618,0.5948
2004,energy,0.728,0.7036
2004,acousticness,0.0759,0.1585
1988,danceability,0.68,0.6775
1988,liveness,0.13,0.174
1988,valence,0.676,0.6439
1988,energy,0.682,0.6691
1988,acousticness,0.0374,0.1164
1984,danceability,0.563,0.5641
1984,liveness,0.131,0.1902
1984,valence,0.6475,0.6069
1984,energy,0.766,0.7214
1984,acousticness,0.0826,0.1642
1982,danceability,0.6865,0.6282
1982,liveness,0.1395,0.1935
1982,valence,0.6245,0.6298
1982,energy,0.7225,0.6817
1982,acousticness,0.079,0.16
1973,danceability,0.485,0.4913
1973,liveness,0.1555,0.2038
1973,valence,0.6045,0.5924
1973,energy,0.644,0.6463
1973,acousticness,0.251,0.244
1979,danceability,0.586,0.5915
1979,liveness,0.0968,0.1434
1979,valence,0.719,0.659
1979,energy,0.7145,0.6794
1979,acousticness,0.0861,0.1681
1977,danceability,0.5465,0.5379
1977,liveness,0.1355,0.1997
1977,valence,0.587,0.585
1977,energy,0.691,0.6602
1977,acousticness,0.0979,0.2095
1981,danceability,0.565,0.5729
1981,liveness,0.15,0.2111
1981,valence,0.694,0.6724
1981,energy,0.738,0.7116
1981,acousticness,0.109,0.1558
1974,danceability,0.552,0.5275
1974,liveness,0.125,0.1944
1974,valence,0.634,0.6271
1974,energy,0.61,0.6246
1974,acousticness,0.245,0.3004
1970,danceability,0.537,0.5355
1970,liveness,0.1525,0.1912
1970,valence,0.614,0.6304
1970,energy,0.658,0.6265
1970,acousticness,0.196,0.2526
1976,danceability,0.543,0.5301
1976,liveness,0.123,0.1864
1976,valence,0.609,0.597
1976,energy,0.676,0.6469
1976,acousticness,0.13,0.204
1987,danceability,0.552,0.5592
1987,liveness,0.142,0.1992
1987,valence,0.576,0.5855
1987,energy,0.837,0.7514
1987,acousticness,0.0413,0.1229
1978,danceability,0.569,0.5773
1978,liveness,0.127,0.2015
1978,valence,0.667,0.6456
1978,energy,0.711,0.6977
1978,acousticness,0.0791,0.1569
1969,danceability,0.528,0.5363
1969,liveness,0.139,0.1738
1969,valence,0.6475,0.6222
1969,energy,0.6595,0.6316
1969,acousticness,0.1875,0.2369
1986,danceability,0.6,0.6073
1986,liveness,0.129,0.1697
1986,valence,0.683,0.6428
1986,energy,0.751,0.6831
1986,acousticness,0.0771,0.1576
1980,danceability,0.539,0.5538
1980,liveness,0.122,0.1964
1980,valence,0.639,0.625
1980,energy,0.722,0.7009
1980,acousticness,0.103,0.1674
1983,danceability,0.617,0.6014
1983,liveness,0.12,0.1739
1983,valence,0.634,0.6275
1983,energy,0.7865,0.7473
1983,acousticness,0.0591,0.1236
1985,danceability,0.6215,0.6086
1985,liveness,0.104,0.1561
1985,valence,0.639,0.6126
1985,energy,0.6775,0.6621
1985,acousticness,0.1485,0.2223
1989,danceability,0.659,0.622
1989,liveness,0.138,0.1839
1989,valence,0.661,0.6169
1989,energy,0.728,0.7037
1989,acousticness,0.0515,0.1326
1975,danceability,0.499,0.5215
1975,liveness,0.111,0.2083
1975,valence,0.593,0.5724
1975,energy,0.598,0.5787
1975,acousticness,0.2285,0.286
1968,danceability,0.467,0.475
1968,liveness,0.187,0.2254
1968,valence,0.566,0.6113
1968,energy,0.635,0.623
1968,acousticness,0.262,0.227
1971,danceability,0.489,0.5209
1971,liveness,0.124,0.1853
1971,valence,0.531,0.5255
1971,energy,0.722,0.6353
1971,acousticness,0.313,0.3285
1972,danceability,0.5765,0.5608
1972,liveness,0.121,0.1745
1972,valence,0.719,0.6733
1972,energy,0.613,0.6151
1972,acousticness,0.221,0.2827
1967,danceability,0.491,0.4913
1967,liveness,0.123,0.1928
1967,valence,0.588,0.5802
1967,energy,0.583,0.5622
1967,acousticness,0.367,0.3385
1966,danceability,0.482,0.4639
1966,liveness,0.137,0.2453
1966,valence,0.716,0.6249
1966,energy,0.629,0.6464
1966,acousticness,0.14,0.2391
1965,danceability,0.532,0.5542
1965,liveness,0.128,0.1384
1965,valence,0.6975,0.678
1965,energy,0.752,0.6917
1965,acousticness,0.477,0.4201
1964,danceability,0.567,0.5747
1964,liveness,0.1,0.1216
1964,valence,0.723,0.7409
1964,energy,0.915,0.745
1964,acousticness,0.262,0.3874
1963,danceability,0.491,0.4778
1963,liveness,0.0691,0.0821
1963,valence,0.494,0.6218
1963,energy,0.76,0.5622
1963,acousticness,0.52,0.5908
1962,danceability,0.816,0.816
1962,liveness,0.0899,0.0899
1962,valence,0.912,0.912
1962,energy,0.514,0.514
1962,acousticness,0.767,0.767
1957,danceability,0.5195,0.5195
1957,liveness,0.07,0.07
1957,valence,0.9115,0.9115
1957,energy,0.78,0.78
1957,acousticness,0.6025,0.6025
1958,danceability,0.647,0.647
1958,liveness,0.0715,0.0715
1958,valence,0.915,0.915
1958,energy,0.582,0.582
1958,acousticness,0.41,0.41
1961,danceability,0.585,0.585
1961,liveness,0.0908,0.0908
1961,valence,0.433,0.433
1961,energy,0.036,0.036
1961,acousticness,0.859,0.859
1960,danceability,0.346,0.3862
1960,liveness,0.301,0.401
1960,valence,0.599,0.579
1960,energy,0.4345,0.4648
1960,acousticness,0.7255,0.7215
